,frase,sentimento
6372,"Não era com ele, era com o pessoal do notes.",neutro
6373,"OBRIGADO PELA FORÇA, BOA SEMANA",positivo
6374,"OBRIGADO, PELO OTIMO ATENDIMENTO",positivo
6375,Foi aberta outra solicitação para acrescentar no sinpep outro orgão gestor,neutro
6376,òtimo atendimento!!!,positivo
6377,Nunca foi tão rápido e eficieente.,positivo
6378,sem informações sobre data e disponibilização do programa de IRPF 2015,negativo
6379,"Não foram verficadas as configurações de rede do notebook. Tendo sido comentado que o problema de estabilidade de conexão externa não possui solução ou nenhuma verificação que poderia esclarecê-lo. Adicionalmente comentei que poderia ser algum problema no setup ou instalação do ""Pulse"", entretanto, não foi dada atenção a este comentário.",negativo
6380,Ótimo atendimento!,positivo
6381,"Muito bom, profissionais de qualidade!",positivo
6382,"O Atendente falou que o Sistema de IRPF 2015 não estava disponível, porém tem colegas meus que já tem o aplicativo instalado",negativo
6383,Tudo perfeito!,positivo
6384,"Atendimento PERFEITO, profissional e rápido. nota 10",positivo
6385,Atendente não tinha informação sobre a ferramenta de Comunicações Integradas,negativo
6386,"Operador local, rápido e eficiente!",positivo
6387,"O problema foi resolvido. No entanto, para isto, foi necessário rebaixar a versão do Firefox.",neutro
6388,"Eram dois procedimentos para assinar como treinado e um foi resolvido. O outro não tivemos autorização para acesso, então ficou resolvido parcialmente.",neutro
6389,muito satisfeito com o serviço.,positivo
6390,Obrigada!,positivo
6391,Atendimento rápido e com boa execução.,positivo
6392,"Qdo colocamos que a situação é crítica, não é aceito uma demora de quase 3 horas para uma troca de toner. ",negativo
6393,"O meu atendimento foi muito satisfatório nas minhas dificuldades, de troca senha.",positivo
6394,Meu chamado não foi resolvido porque o programa da Receita Federal para o IRPF 104 ainda está em fase de teste.,neutro
6395,ATENDIMENTO DE 1ª CLASSE.,positivo
6396,muito satisfeito pelo atendimento.,positivo
6397," Muito satisfeito , atendimento rápido !!",positivo
6398,bom conhecimento do leonardo além de persistencia até a solucao do problema.,positivo
6399,Ainda não voltou a rede como que posso avaliar?,negativo
6400,"Atendimento perfeito, muito satisfeito",positivo
6401,Parabenizar a disponibilidade e eficiência do Profissional,positivo
6402,Atendente muito solicito. ,positivo
6403,O atendente foi muito prestativo !,positivo
6404,"Se a rede wifi nao tivesse voltado ""sozinho"" a funcionar, ficaria sem acesso a rede petrobras das 8:30 as 13h (o pc voltou a conectar a wifi as 10h - os demais pcs da sala nao tiveram problemas de conexão, nem por wifi nem pelo cabo de rede)",negativo
6405,"Atendeu ao chamado, excelente serviço do Profissional.",positivo
6406,Fui muito bem atendida !!,positivo
6407,ATENDIMENTO EM TEMPO BASTANTE RÁPIDO,positivo
6408,O chamado foi prontamente resolvido pelo apoio local (Alexandre Camilo Taira),positivo
6409,"ÓTIMO ATENDIMENTO, PROBLEMA RESOLVIDO A COMTENTO",positivo
6410,Excelente atendimento. ,positivo
6411,rapida solução,positivo
6412,Depende de uma outra área,neutro
6413,Agradeço ao comprometimento do analista Danilo na resolução do problema.,positivo
6414,"Agradecer e parabenizar o atendente Calell Silva Cao, pela trabalho realizado.",positivo
6415,Atenção e destreza na realização.,positivo
6416,"O técnico não trocou os tonners e não reportou o término do atendimento, ou seja, o atendimento foi INSATISFATÓRIO.",negativo
6417,serviço excelente executado pelo Felipe.,positivo
6418,"Ótimo atendimento, resolvido o problema.",positivo
6419,"Não deveria ter aberto 3x o mesmo chamado, pedi ajuda no GPAS, não precisava ter aberto chamados para mostrar trabalho.",negativo
6420,agradecemos a atenção e presteza.,positivo
6421,Obrigado pelo excelente atendimento do profissional que me atendeu!,positivo
6422,Parabéns pela agilidade na resposta.,positivo
6423,funcionario muito atencioso e prestativo,positivo
6424,A impressora não está operando.,neutro
6425,ótimo,positivo
6426,resolvido rapidamente,positivo
6427,"Não deveria ter aberto 3x o mesmo chamado, pedi ajuda no GPAS, não precisava ter aberto chamados para mostrar trabalho.",negativo
6428,obrigado pela atenção e eficiência .,positivo
6429,Parabenizar a disponibilidade e eficiência do Profissional,positivo
6430,"Registro meu agradecimento pela prontidão, agilidade e excelência do atendimento realizado pelo apoio local no EDISC, que sempre procura nos atender com a maior brevidade e eficiência possíveis, obtendo sempre excelentes resultados na resolução dos chamados.",positivo
6431,Muito satisfeita!!,positivo
6432,obrigado pela eficiência . ,positivo
6433,Excelente!,positivo
6434,Aguardando a homologação do software para declaração do imposto de renda 2014/2015.Obrigado.,positivo
6435,a nova senha para o troca senha não resolveu o problema.,neutro
6436,Excelente atendimento.,positivo
6437,Excelente atendimento,positivo
6438,"Uma vez que o problema de acesso ao site ainda não foi solucionado, penso que o chamado não deveria ter sido concluído. Poderei avaliar a qualidade do serviço prestado pela TIC somente quando o problema for COMPLETAMENTE solucionado, e não apenas encaminhado a outra instância da própria TIC (no caso, email do meu superior à STIC solicitando liberação do acesso, ainda não respondido).",negativo
6439,O problema foi resolvido adequadamente.,positivo
6440,Atualização cadastral foi feita sem o meu conhecimento.,negativo
6441,"Fui prontamente atendido, com agilidade e cordialidade.",positivo
6442," O Aplicativo foi instalado, porem o servico não está disponivel.",negativo
6443,O aplicativo não foi instalado.,negativo
6444,Excelente atendimento,positivo
6445,Atendimento excelente.,positivo
6446,Excelente atendimento,positivo
6447,"É necessario meu  direcionamento correto a mesa responsavel, apesar da ajuda e retorno",neutro
6448,foi otimo,positivo
6449,A informação foi desencontrada...Inclusive seguimos a orientação e não obtivemos sucesso. Como a Gerencia maior não tem acesso às chaves das gerencias menores? É um absurdo.,negativo
6450,Solicito reabertura do registro.,negativo
6451,Excelente atendimento.,positivo
6452,Excelente resposta ao atendimento.,positivo
6453,Excelente resposta ao atendimento.,positivo
6454,Excelente resposta ao atendimento.,positivo
6455,Atendimento eficiente,positivo
6456,Excelente resposta ao atendimento.,positivo
6457,GRATO PELO APOIO,positivo
6458,"fui muito bem atendida, de forma clara e o atendente muito educado",positivo
6459,"Prezados,bom dia Quero agradeçer pela atenção e pelo apoio prestado.Muito obrigado Sr°Gabriel Brito.",positivo
6460,Muito obrigado pela ajuda.,positivo
6461,Bom trabalho.,neutro
6462,senha de logon do windows não é igual ao do Notes.,negativo
6463,"Não foi resolvido porque o programa do IRPF 2015 não está homologado, conforme instrução da atendente.",neutro
6464,grato pelo apoio,positivo
6465,Não foi possível ter a soluçao do problema por este meio. Estamos providenciando o envio de DIP para solicitar o atendimento da demanda.,negativo
6466,"Agradeço a Daiane, pelo atendimento prestado. Muito educada e atenciosa!",positivo
6467,Sem comentários.,neutro
6468,atendimento rapido e eficiente.,positivo
6469,Solicitamos acesso aos caminhos do NP1 e NP2 porém somente o primeiro foi concedido.,negativo
6470,serviço ok,neutro
6471,O atendimento foi imediato.Agradeço a equipe,positivo
6472,Atendimento muito rápido. Parabens.,positivo
6473,"Esta equipe presta um excelente trabalho, sempre!",positivo
6474,Obrigado pelo apoio.,positivo
6475,fico aguardando o dia para instalação do ramal.,neutro
6476,A Vanessa me comunicou que não dão suporte ao ambiente PEQ#320 portanto nada foi realizado.,negativo
6477,Atendimento realizado com muita eficiência.,positivo
6478,Atendente demosntrou pouca experiência no assunto,negativo
6479,excelente atendimento,positivo
6480,A solicitação foi encaminhada para aprovação do gerente responsável pela liberação.,positivo
6481,O Programa  AINDA  não foi homologado pela PETROBRAS,negativo
6482,Excelente profissional. Ótimo atendimento.,positivo
6483,Atendimento 5 estrelas. ,neutro
6484,Houve ,neutro
6485,"Gostaria de parabenizar pelo rápido atendimento a minha solicitação, mesmo não solicitando urgência no chamado fui atendimento rápido. ",positivo
6486,PROFISSIONAL BASTANTE COMPETENTE EM SUAS HABILIDADES (10),positivo
6487,Poderia ter sido mais rápido a solução. ,positivo
6488,Tec. muito bom ! nota 10 !!!!,positivo
6489,Office instalado de maneira rápida e objetiva.,positivo
6490,Apenas pela impossibilidade de instalação do receitanet 2015. A atuação da analista Chirtiane foi fantástica.,neutro
6491,"Ciente de não está disponível a instalação do IRPF 2015, grato !",neutro
6492,Muito bom o Atendimento em Geral prestados pelos profissonais que compôem a Equipe. Estão sempre dispostos a ajudar e empenhados a resolver o problema. Parabéns à todos!,positivo
6493,O software foi instalado mas não consigo gravar o texto no CD. Meu computador não reconhece o CD. Fui obrigada a aabrir outro chamado de no. INC000022300877,neutro
6494,"Embora o ótimo atendimento da TIC o problema não foi resolvido, pois a videoconferência via sametime não teve êxito, provavelmente devido à falhas na conexão ou mesmo o pouco treinamento das pessoas envolvidas na vídeo.",neutro
6495,Fui informado que o problema é do MOZILLA FIREFOX e que a TIC já está solucionando (abertura de janela pedindo chave e senha do usuário ao tentar acessar o MSN OUTLOOK).,neutro
6496,"Um absurdo o tipo de questionamento. Apenas liguei para o 881 e perguntei ao atendimento de estava instalando o programa IRPF. A pessoa não quis responder logo de início. Perguntou minha chave. Após informar chave, ela respondeu: não, não estamos instalando. Ora, não houve atendimento algum, logo não tem sentido o questionário em questão.",negativo
6497,Excelente atendimento,positivo
6498,Atendente educada e cortês.,positivo
6499,Atendente muito atencioso e prestativo.,positivo
6500,Chamou a atenção a forma educada e profissional pela qual fui tratado,neutro
6501,O programa ainda não foi disponibilizado.,neutro
6502,Rapidez e presteza no atendimento.,positivo
6503,excelente,positivo
6504,Gentileza encaminhar o chamado para outra pessoa que conheça a ferramenta de agenda do Notes.,negativo
6505,sem comentários,neutro
6506,Atendente muito solicito para a resolução do problema,positivo
6507,"Embora já disponibilizado pela RF o IRPF/2015, não esté ele disponível para o público interno da Petrobras",neutro
6508,Fui perfeitamente orientado,neutro
6509,"Atendimento rápido, educado e eficiente.",positivo
6510,Atendente muito atenciosa,positivo
6511,Muito obrigada pela agilidade no atendimento.,positivo
6512,Atendimento  Eficiente,positivo
6513,"Atendente pro-ativo, solicitando abertura de chamado referente a atualização de cadastro.",positivo
6514,"O IR  2015 Não estava liberado para os empregados  , Fui bem atendido e informado.",neutro
6515,Resolvido com eficiência e rapidez.,positivo
6516,"atendente informou corretamente sobre o procedimento para solicitar aumento de cota, mas não souber informar o custo de cada cota.",positivo
6517,"Excelente atendimento: Paciencia, eficiencia e eficaz - Muita Presteza: Parabéns!!",positivo
6518,"ótimo atendimento realizado, onde apenas dessa vez consegui realizar o acesso ao sistema SAP.  Agradeço ao atendimento.",positivo
6519,problema resolvido com rapidez e precisão,positivo
6520,MUITO BEM ATENDIDO OBRIGADO.,positivo
6521,Houve informação erronea.,negativo
6522,Foi necessário encaminhar chamado para o atendimento local,negativo
6523,Boa vontade e prestesa.,positivo
6524,O nome do software é PDSview.,neutro
6525,Resolvido com sucesso ,positivo
6526,"O tempo de espera para me atender demorou, mas o profissional foi excelente.",positivo
6527,Recebi email a pouco informando que a TIC esta tentando contato atraves do ramal antigo,negativo
6528,resolvido com rapidez,positivo
6529,Muito bom.,positivo
6530,Consultor (a) sempre bem disposto a atender.,positivo
6531,"Conforme contato realizado junto ao Analista Daniel, apesar de pouco recurso, o atendimento foi excelente.",positivo
6532,"O funcionário da SPREAD, ALEXANDRE AUGUSTO ABREU PEREIRA é um excelente profissional. Sempre que temos algum problema na rede, ele nos atende com dedicação, presteza e competência.  Gostaríamos de parabenizá-lo, pois ele é muito bom!  ",positivo
6533,Atendimento buenacho por demais !,positivo
6534,Resolvido rapidamente.,positivo
6535,Apoio local bastante cordial e solícito.,positivo
6536,Apoio bastante cordial e solícito.,positivo
6537,Excelente atendimento. Funcionário demonstrou habilidade e pleno conhecimento,positivo
6538,Excelente,positivo
6539,"Excelente atendimento, obrigado.",positivo
6540,Excelente atendimento,positivo
6541,Excelente atendimento.,positivo
6542,Excelente atendimento,positivo
6543,Falha na impressora!,negativo
6544,"O profissional solucionou o problema com muita destreza e rapidez, o que ninguém mais havia conseguido nas minhas ligações anteriores.",positivo
6545,Atendimento perfeito,positivo
6546,EXCELENTE ATENDIMENTO,positivo
6547,atendimento rápido e preciso,positivo
6548,"Não tenho como avaliar, pois não trabalho mais naquela unidade.",neutro
6549,Porém ainda falta instalar mecanismos de movimentação da cam 01.,neutro
6550,DEMORA MUITO GRANDE PARA TRATAMENTO DO CHAMADO,negativo
6551,Atendente bastante atenciosa e disposta a resolver o incidente.,neutro
6552,Ótimo atendimento.,positivo
6553,Fomos atendidos pelo Marcio Aleixo Vieira de forma muito prestativa e foi de grande valia.,neutro
6554,atendimento exelente,positivo
6555,atendimento exelente,positivo
6556,atendimento exelente,positivo
6557,"Deveria melhorar o sistema de manutenção, ficou pendente 1 semana para solucionar o problema.",negativo
6558,"LEVANDO EM CONTA O TIPO E URGÊNCIA DA SOLICITAÇÃO, 18 DIAS PARA ATENDIMENTO É MUITA COISA.",negativo
6559,Recebi orientações sobre como alterar a senha padrão. Obrigado!,positivo
6560,"ATÉ O MOMENTO 03/03/15, LINHA TELEFONICA OPERANDO NORMALMENTE",neutro
6561,.,neutro
6562,Resolvido adicionando exceção de segurança nas paginas que apresentavam problemas.,neutro
6563,"Parcial, equipamento substituído provisoriamente até a solução do retirado da gerencia.",neutro
6564,aATENDIMENTO COM PRESTEZA,neutro
6565,Fiquei uma semana sem retorno sobre o chamado. A TIC poderia comunicar o andamento da solicitação.,negativo
6566,"o atendente migrou, a meu pedido, os arquivos de backup que estavam visíveis para outras chaves, para meu pendrive e infomou que eu ligasse para 881 depois de concluído o download para que outro atendente apagasse os arquivos que estavam visíveis.",negativo
6567,"Após a ação de migração dos arquivos de backup visíveis a todos concluida, a atendente apagou definitivamente do computador os arquivos citados.",neutro
6568,Muito embora tenha aberto inúmeras solicitações e recebido inúmeras orientações até o presente momento continuo sem acesso. ,negativo
6569,Foi resolvido em partes. Outra atendente entrará em contato para solucionar.,negativo
6570,"A informação recebida é que precisa adquirir uma placa para a unidade e que este serviço no momento não está disponível. Portanto, fico no aguardo da resolução quando a placa for adquirida.",neutro
6571,"O  Sametime foi ativado porém não atualizado, questionei.  A resposta do operador foi que era devido está em outra maquina. Não entendi.",negativo
6572,O atendimento foi excecelente!!!,positivo
6573,Obrigado! Excelente.,positivo
6574,Serviço atendido dentro do prazo.,neutro
6575,Perfeito atendimento. O teclado que apresentava problemas foi trocado.,positivo
6576,Prazo de atendimento excessivamente longo. ,negativo
6577,"O atendimento foi muito rápido e prestado com eficiência, com a reposição de um outro monitor do mesmo padrão.",positivo
6578,Agradeço na agilidade da solução e na eficiência do atendimento prestado.,positivo
6579,Fui atendida com muita atenção.,positivo
6580,foi ótimo,positivo
6581,"Atualizar os ramais dos colaboradores no banco de dados da TIC, para evitar perda de tempo no atendimento.",neutro
6582,Atendido com dedicação e p´presteza profissional,positivo
6583,òtimo trabalho,positivo
6584,Parabéns pela qualidade e agilidade no atendimento.,positivo
6585,NAO HOUVE RETORNO SE A SOLUÇÃO FOI RESOLVIDA OU NAO ,negativo
6586,muito bom.,positivo
6587,"A solução demorou, mas chegou.",neutro
6588,"same time nao funciona, mozila nao funciona, nao houve interesse do atendente em instalar programas que preciso",negativo
6589,assunto será retomado no mês de abril de 2015.,neutro
6590,Resolução rápida e follow up ok.,neutro
6591,BOM ATENDIMENTO,positivo
6592,Já repassei o motivo da minha insatisfação por correio durante o atendimento.,negativo
6593,Otimo atendimento.,positivo
6594,Muito atencioso e solícito.,positivo
6595,"A nota dada não é  para o técnico que faz o serviço e sim do responsável pela Gestão do setor da HP que já algum tempo vem fazendo um péssimo atendimento. Muita demora, monitoramento a distância não existe e o ideal seria que pudéssemos ter pelo menos um cartucho sobressalente para emergências.Como somos uma área que trabalhamos com Projeto o cartucho sobressalente deveria ser repensado para não causar transtornos no atendimento a nossa Gerência. ",negativo
6596,Agilidade e sanado o problema,neutro
6597,"Só hoje o atendimento foi feito por telefone. Felizmente a impressora voltou a funcionar normalmente, sem a presença solicitada desde sexta-feira com situação critica de um técnico.",negativo
6598,"No momento do contato eu achei q o problema houvesse sido resolvido, mas não foi.",neutro
6599,"Fui informada que alguns testes seriam realizados para identificar o problema, continuo esperando o retorno do técnico.",negativo
6600,Fiquei muito tempo com o atendente (1h:07min) e o problema não foi resolvido.,negativo
6601,Continuo sem conseguir acessar meus comprovantes de rendimentos,negativo
6602,"num primeiro momento o atendente não resolveu passando que passaria ao correio local , depois no outro dia outro atendente resolveu o problema",neutro
6603,Atendimento eficiente.,positivo
6604,Reconfiguração para uso de proxy.,neutro
6605,Agradeço o pronto atendimento e a gentileza do funcionário Alessandro da TI,positivo
6606,resolvido em tempo hábil. ,positivo
6607,Gostaria de agradecer a ajuda do Otlay. O software foi instalado e tudo está funcionando.,positivo
6608,Atendimento rápido!,positivo
6609,O MEU PEDIDO AINDA NÃO FOI ATENDIDO,neutro
6610,Ótimo,positivo
6611,muito eficiente!,positivo
6612,Excelente atendimento do apoio local. George está de parabéns pela agilidade e eficiências.,positivo
6613,"Fui muitíssimo bem atendida pelo profissional Marcelo Pires, que identificou problemas que eu tinha e não sabia. muito obrigada.",positivo
6614,Parabéns pelo pronto atendimento. Obrigado!,positivo
6615,Excelente atendimento do Pimentel.,positivo
6616,"Software instalado , mas não funciona, aguardando solução",neutro
6617,A impressora continua com problema.,neutro
6618,o CHAMADO NÃO FOI ATENDIDO. FOI ENCERRADO COMO ATENDIDO PORÉM INDICANDO OUTRA CHAVE QUE NÃO A NECESSÁRIA: CP7L,negativo
6619,NOTEBOOK CONTINUA LENTO ,neutro
6620,Ótimo atendimento.,positivo
6621,Excelente atendimento de Sra. Cristiane,positivo
6622,Muito rápido o atendimento e aproveitou que não necessitava da minha presença para a solução. Estou muito satisfeito com a ação.,neutro
6623,"Simples, rápido e eficaz",positivo
6624,As imagens apresentadas no tutorial estão desatualizadas em relação a versão do Notes Traveller instalado.,neutro
6625,"O problema foi resolvido parcialmente, pois o mapeamento da área do científico e da área home ainda continua com problemas.",negativo
6626,Persiste erro no acesso ao Citrix pelo Mozila Firefox,neutro
6627,Tudo ok!,neutro
6628,O atendente me orientou a procurar o responsável pela área.,neutro
6629,Reparo ok!,neutro
6630,Reparo ok!,neutro
6631,Reparo ok!,neutro
6632,Reparo ok!,neutro
6633,Reparo ok!,neutro
6634,Excelente atendimento. O atendente explicou o funcionamento do mecanismo de criptografia e esclareceu dúvidas adicionais.,positivo
6635,POSTERGADO REMANEJAMENTO APARELHO  VSX.,neutro
6636,Aline é ótima profissional!,positivo
6637,"Infelizmente não foi possível ainda atender à minha solicitação, mas o atendente explicou o motivo. Estamos por hora satisfeitos. Obrigado.",neutro
6638,Super satisfeita.,positivo
6639,"O programa tinha de estar disponível desde o 1° dia, principalmente nas plataformas, pois não temos a opção de fazer a declaração em casa no período do embarque, o que acaba gerando atraso na devolução do IRPF. ",neutro
6640,Satisfeito com o aendimento e atendente.,positivo
6641,"Excelente atendimento, problema resolvido rapidamente e com muita atenção. Além de resolver a problemática o técnico me explicou o que estava acontecendo com o micro. Ele foi rápido, ou seja, não atrapalhou minha produção. Parabéns pelo atendimento!",positivo
6642,"Após constatado a não possibilidade de resolução devido a outro impedimento, não houve qualquer orientação de como proceder .",negativo
6643,Atendente muito atencioso.,positivo
6644,Bastante proatividade,positivo
6645,"Não foi trocado o cartucho do toner, favor verificar chamado.",negativo
6646,sem comentários,neutro
6647,MUITO BOM ATENDIMENTO!,positivo
6648,"Ótimo atendimento, agilidade e profissionalismo.",positivo
6649,Estou  muito satisfeito com o atendimento,positivo
6650,Excelente atendimento !,positivo
6651,Obrigado!,positivo
6652,ATENDIMENTO RÁPIDO E EFICIENTE PARABÉNS,positivo
6653,Errata do nome do software: Easytrace. Muito prestativo e eficiente.,neutro
6654,Meus agradecimentos ao Sr. Brasil pelo pronto atendimento local e pela ajuda prestada.,positivo
6655,Solução foi imediata.,neutro
6656,"Muito bom atendimento, atendente bem educada!",positivo
6657,Os ramais 705-4111 / 705-4090 e 705-3403 ainda continuam  no grupo. Acabe de fazer o teste litgando para o ramal 705-4090 e depois do terceiro toque ele está transferindo para o meu ramal 705-4111. O mesmo acontece com o ramal 705-3403,negativo
6658,Obrigada!!,positivo
6659,"Bem atendido, como de praxe. Muito obrigado. Lamentável que, para acessar esta tela de ""Pesquisa de Satisfação"", eu tenha demorado 04min35seg cronometrados para chegar aos campos de resposta. A lentidão do sistema de TIC da Petrobras, pelo menos no EDISE, como já reclamei formalmente em mais de uma ocasião, está piorando dia a dia, afetando o desempenho do trabalho de todos, sem termos verificado  qualquer melhoria, pelo menos visivelmente aos nossos olhos.",positivo
6660,Consultei o LOPE e os ramais que citei em meu pedido ainda constam no LOPE,negativo
6661,Excepcional atenção e competência técnica da colega TATIANA ALVES CUNHA!,positivo
6662,O técnico foi um excelente profissional e resolveu com muito domínio do seu trabalho.  ,positivo
6663, Parabéns !! nota 10.,positivo
6664,O drive para utilização do WIFI não estava funcionando e precisei abrir outro chamado apra pedir solução.,neutro
6665,o PROBLEMA FOI SOLUCIONADO APENAS DEPOIS QUE POR MINHA CONTA DESLIGUEI A MÁQUINA,negativo
6666,Só elogios e agradecimentos pois fui muito bem atendido,positivo
6667,"Ainda não, pois deram o prazo de até 8 horas",neutro
6668,MUITO BOM  ,positivo
6669,atendimento rapido e bom,positivo
6670,ATENDEU PRONTAMENTE E RESOLVEU.,positivo
6671,"Profissional atencioso. Executa a tarefa com presteza, demostrando muito conhecimento e segurança.",positivo
6672,Muito bem atendido e orientado ,positivo
6673,Excelente,positivo
6674,"Excelente educação e trabalho, incluindo rapidez",positivo
6675,Satisfeito com informações prestadas.,positivo
6676,Fui informado pela  atendente Michelli que ela não poderia me auxiliar no pedido.,negativo
6677,"Levei 15 minutos na linha com a atendente, para no final ela me dizer que o procedimento dizia que eu tinha que enviar uma nota para o compartilhado para movimentar 1 micro de uma sala para outra, no mesmo andar.",negativo
6678,Enceminhado para DTL SIGEM,neutro
6679,Atendente muito simpático e atencioso.,positivo
6680,ainda não estava homologado...,negativo
6681,Transferência rapidamente realizada. Excelente serviço!,positivo
6682,"muito bom o atendimento, muito rapido. parabens",positivo
6683,"essa foi minha sexta chamada para resolver um problema do notes, a cada chamada o atendente consertava uma coisa e estragava outra. Este ultimo chamado parece que resolveu todos os problemas anteriores, eu realmente espero!",neutro
6684,"Como sempre, solução fornecida com agilidade e competência. Muito satsifeito com o atendimento.",positivo
6685,Excelente atendimento!,positivo
6686,Atendimento bem tranquilo,neutro
6687,COMO SEMPRE ATENDIMENTO PERFEITO.,positivo
6688,Atendimento excepcional,positivo
6689,"Excelente atendimento! A técnica esclareceu completamente as questões, foi cordial e apresentou-se muito disponível para apoiar.  Após várias aberturas de chamado sobre a mesma questão este atendimento dirimiu as questões por completo.",positivo
6690,Ótima técnica.,positivo
6691,"Serviço rápido, eficiente e ótimo atendimento.",positivo
6692,Rápido e simples. Perfeito.,positivo
6693,"Após mais de 50 minutos sem sucesso, a meu pedido, o contato foi passado a outro funcionário que resolceu  problema.",negativo
6694,Antendimento foi bastante rápido e eficiente.,positivo
6695,"Pronto atendimento, satisfatório e imediato",positivo
6696,"Problema resolvido com rapidez, e atendimento muito bom.",positivo
6697,Programa nao instalado pq estava em homologacao,neutro
6698,Presteza e cordialidade.,positivo
6699,muito satisfeito,positivo
6700,Presteza e cordialidade.,positivo
6701,Agradeço o atendimento realizado por Filipe e Elizabeth.,positivo
6702,"Há mais de 4 meses venho tentando solicitar perfis para a profissional que irá me substituir durante minha licença maternidade. Estou saindo hoje e ainda não consegui conceder estes perfis. Após ficar 1 hora no telefone com o 881 fui informada que os perfis que desejo estão em teste e precisam ser solicitados posteriormente, sem previsão de quando iremos conseguir. Pedi um caminho, uma chave de alguém da TIC no qual eu pudesse solicitar os perfis e, quando possível, fosse realizado porém a atendente explicou que não é possível. O único caminho seria a secretária da gerência tentar toda semana acessar o sistema para ver quando está disponível. Nessas tentativas, incomodamos diversas vezes meu gerente, que realizou aprovações em vão e até o momento a pessoa não pode realizar suas atribuições. Devido à minha ausência, solicito que dêem um retorno para a própria, Gilianne, chave AKTY. Obrigada.",negativo
6703,EXCELENTE ATENDIMENTO,positivo
6704,A atendente desconhece o que eu solicitei.,negativo
6705,"trabalho externo com sistema Petrobras através de Token, o arquivamento esta cheio e eu só consigo abrir o correio através da web, peço mais uma vez uma ajuda para solucionar esta situação.",neutro
6706,obrigada,positivo
6707,Ótimo!,positivo
6708,A muito tempo não tinha um atendimento tão eficiente pela TIc ,positivo
6709,Excelente atendimento! Objetivo e cordial.,positivo
6710,Ótimo!,positivo
6711,Excelente atendimento.,positivo
6712,"Prezados , o problema da notificação em questão  , permanece , não estamos conseguindo imprimir,  problema com a alimentação do papel na mesma.",negativo
6713,Ótimo atendimento ,positivo
6714,"O atendimento foi bem cebtralizado,  a minha demanda foi atendida.",positivo
6715,Atendente muito côrtes e ágil.,positivo
6716,hsbc não está cadastrado para liberar o modulo de segurança,neutro
6717,Sem comentários,neutro
6718,muito satisfeito,positivo
6719,muito bom o atendimento.,positivo
6720,"Não foi resolvido, pois não era possível resolver no momento.",neutro
6721,Dedicação e boa vontade no atendimento.,positivo
6722,A cabei conseguindo resolver simplesmente saindo da transação e voltando novamente.     Quando informada que isso não era possível  ,negativo
6723,ATENDIMENTO COM EXCELENTE EFICIÊNCIA,positivo
6724,"Foi preciso quase uma hora para finalizar a instalação. Considero um tempo muito longo. De qualquer modo, a pessoa que me atendeu foi muito cordial e resolveu o problema.",neutro
6725,"Incluir na ""CRIAÇÃO DA SOLICITAÇÃO"" se o empregado é portador de alguma deficiência fisica/auditiva/visual para que assim o atendimento não seja feito um retrabalhado..por exemplo ramal...quem é deficiente auditivo não falará no telefone..",neutro
6726,Atendimento foi ótimo e rápido.,neutro
6727,Excepcional atenção e competência técnica da colega TATIANA ALVES CUNHA!,neutro
6728,Agradeço pelo apoio!,positivo
6729,Excelente atendimento.,positivo
6730,Ok.,neutro
6731,Excelente; continuem assim. att Victor,positivo
6732,O acesso não depende do operador TIC.,neutro
6733,Agradeço à proatividade do técnico da TI que foi quem detectou e sanou o problema,positivo
6734,"Atendimento mujito prestativo,,parabens a atendente",positivo
6735,atendente demonstrou perseverança e destreza na solução do poblema.,positivo
6736,excelente,positivo
6737,Não solucionaram a minha solicitação.,negativo
6738,Atendimento demorado e que não atingiu o objetivo. Continuo com o problema relatado.,negativo
6739,"Resolvido em partes. Criou espaço em disco, na unidade U: e o lótus notes não abria depois de fecha-lo.",negativo
6740,o atendimento fui rápido e eficiente,positivo
6741,Atendimento rápido e eficiente.,positivo
6742,"Fui muito bem atendido, o colaborador  foi muito atencioso e eficiente",positivo
6743,Do que se trata????,neutro
6744,Excelente serviço!!!!,positivo
6745,Lotus notes funcionando sem problemas. Parabéns.,positivo
6746,Todo o processo desde o atendimento foi extremamente perfeito. Parabéns,positivo
6747,"Pela primeira vez fui super bem atendido, a atendente está de parabéns.",positivo
6748,Já fiz três contatos com acesso remoto e continuo sem conseguir acessar o sametime.,negativo
6749,Pronto atendimento e solução,positivo
6750,Ótimo atendimento!,positivo
6751,"O funcionário mais uma vez atuou com muito profissionalismo, com rapidez e eficiência.",positivo
6752,"Agradeço o atendimento da Sra. Fernanda, principalmente pela paciência em resolver a questão",positivo
6753,"Mais uma vez, agradecemos a agilidade e eficiência no atendimento.",positivo
6754,Bom atendimento e boa dica.,positivo
6755,Parabéns otimo atendimento.,positivo
6756,OBRIGADA,positivo
6757,"Muito satisfeita com atendimento. Devido a gentileza e atenção recebida, assim como a agilidade na solução do problema.  ",positivo
6758,Feliz!    &:),positivo
6759,Bastante agilidade,positivo
6760,Bastante agilidade,positivo
6761,ATENDIDO,neutro
6762,Bastante agilidade,positivo
6763,EXCELENTE ATENDIMENTO,positivo
6764,Atendimento rápido e eficiente,positivo
6765,O Atendente Andre foi calmo e resolveu o problema no tempo adequado.,neutro
6766,O atendente Andre atendeu a solicitação com presteza,positivo
